rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
64,0,64,0,2024-11-18_17:38:01.710655,,,,131.18566980026662,132.72007310017943,None,None,33.9,2.9,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
65,0,65,0,2024-11-18_17:38:03.710342,,,,133.18470330070704,134.71831050049514,None,None,34.0,3.4,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
66,0,66,0,2024-11-18_17:38:05.705078,,,,135.18354080058634,136.71973970066756,None,None,34.0,2.6,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
67,0,67,0,2024-11-18_17:38:07.710495,,,,137.18458299990743,138.71851829998195,None,None,34.1,2.5,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
68,0,68,0,2024-11-18_17:38:09.708524,,,,139.18384560011327,140.71903969999403,None,None,34.1,2.9,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
69,0,69,0,2024-11-18_17:38:11.707649,,,,141.18557630013674,142.71975420042872,None,None,34.2,2.8,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
70,0,70,0,2024-11-18_17:38:13.711918,,,,143.1867611007765,144.7200341001153,None,None,34.2,2.3,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
71,0,71,0,2024-11-18_17:38:15.708772,,,,145.18481990043074,146.71823620051146,None,None,34.300000000000004,3.1,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
72,0,72,0,2024-11-18_17:38:17.706324,,,,147.18332270067185,148.71940920036286,None,None,34.4,3.3,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
73,0,73,0,2024-11-18_17:38:19.707822,,,,149.18604390043765,150.71765200048685,None,None,34.4,3.1,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
74,0,74,0,2024-11-18_17:38:21.709128,,,,151.1826810007915,152.71723950002342,None,None,34.5,3.5,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
75,0,75,0,2024-11-18_17:38:23.706115,,,,153.1824588002637,154.71904350072145,None,None,34.5,2.2,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
76,0,76,0,2024-11-18_17:38:25.705760,,,,155.1847645007074,156.7182694002986,None,None,34.5,2.2,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
77,0,77,0,2024-11-18_17:38:27.707838,,,,157.1833208007738,158.71819390077144,None,None,34.6,2.4,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
78,0,78,0,2024-11-18_17:38:29.710555,,,,159.18592109996825,160.71816339995712,None,None,34.6,2.0,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
79,0,79,0,2024-11-18_17:38:31.703525,,,,161.18242860026658,162.71759400051087,None,None,34.6,2.1,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
80,0,80,0,2024-11-18_17:38:33.704876,,,,163.181323800236,164.71836110018194,None,None,34.7,1.9,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
81,0,81,0,2024-11-18_17:38:35.708912,,,,165.18392420001328,166.71750030014664,None,None,34.7,2.5,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
82,0,82,0,2024-11-18_17:38:37.708730,,,,167.18336120061576,168.71736900042742,None,None,34.7,1.9,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
83,0,83,0,2024-11-18_17:38:39.703199,,,,169.18112460058182,170.717817700468,None,None,34.7,2.0,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
84,0,84,0,2024-11-18_17:38:41.709464,,,,171.1843405002728,172.71863909997046,None,None,34.800000000000004,2.7,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
85,0,85,0,2024-11-18_17:38:43.708219,,,,173.18283519987017,174.71805180050433,None,None,34.800000000000004,2.7,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
86,0,86,0,2024-11-18_17:38:45.709062,,,,175.18477480020374,176.71635570004582,None,None,34.800000000000004,2.3,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
87,0,87,0,2024-11-18_17:38:47.706331,,,,177.1817053006962,178.71729230042547,None,None,34.9,2.7,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
88,0,88,0,2024-11-18_17:38:49.709728,,,,179.1830392004922,180.71627140045166,None,None,34.9,2.4,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
89,0,89,0,2024-11-18_17:38:51.708042,,,,181.1821984006092,182.71596520021558,None,None,34.9,2.4,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
90,0,90,0,2024-11-18_17:38:53.699165,,,,183.17993310000747,184.7171884002164,None,None,34.9,2.5,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
91,0,91,0,2024-11-18_17:38:55.705602,,,,185.18256090022624,186.71783500071615,None,None,34.9,2.8,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
92,0,92,0,2024-11-18_17:38:57.711889,,,,187.18515940010548,188.71573540009558,None,None,34.9,2.0,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
